sample,group,life_stage,tissue,mutant
,,,,
sak_a_1.mzXML ,Whole_f,F,Whole,NULL
sak_a_2.mzXML ,Whole_f,F,Whole,NULL
sak_a_3.mzXML ,Whole_f,F,Whole,NULL
sak_a_4.mzXML ,Whole_f,F,Whole,NULL
sak_b_1.mzXML ,Whole_m,M,Whole,NULL
sak_b_2.mzXML ,Whole_m,M,Whole,NULL
sak_b_3.mzXML ,Whole_m,M,Whole,NULL
sak_b_4.mzXML ,Whole_m,M,Whole,NULL
sak_c_1.mzXML ,Head_f,F,Head,NULL
sak_c_2.mzXML ,Head_f,F,Head,NULL
sak_c_3.mzXML ,Head_f,F,Head,NULL
sak_c_4.mzXML ,Head_f,F,Head,NULL
sak_d_1.mzXML ,Head_m,M,Head,NULL
sak_d_2.mzXML ,Head_m,M,Head,NULL
sak_d_3.mzXML ,Head_m,M,Head,NULL
sak_d_4.mzXML ,Head_m,M,Head,NULL
sak_e_1.mzXML ,Mid_f,F,Midgut,NULL
sak_e_2.mzXML ,Mid_f,F,Midgut,NULL
sak_e_3.mzXML ,Mid_f,F,Midgut,NULL
sak_e_4.mzXML ,Mid_f,F,Midgut,NULL
sak_f_1.mzXML ,Mid_m,M,Midgut,NULL
sak_f_2.mzXML ,Mid_m,M,Midgut,NULL
sak_f_3.mzXML ,Mid_m,M,Midgut,NULL
sak_f_4.mzXML ,Mid_m,M,Midgut,NULL
sak_g_1.mzXML ,Ovary_f,F,Ovaries,NULL
sak_g_2.mzXML ,Ovary_f,F,Ovaries,NULL
sak_g_3.mzXML ,Ovary_f,F,Ovaries,NULL
sak_g_4.mzXML ,Ovary_f,F,Ovaries,NULL
sak_h_1.mzXML ,Testes_m,M,Testes,NULL
sak_h_2.mzXML ,Testes_m,M,Testes,NULL
sak_h_3.mzXML ,Testes_m,M,Testes,NULL
sak_h_4.mzXML ,Testes_m,M,Testes,NULL
